45.86.228.104:443#AE [157.76ms]
103.57.251.124:443#AE [166.91ms]
176.97.66.175:443#AE [237.55ms]
176.97.78.80:8443#AE [255.24ms]
84.235.245.65:2096#AE [261.8ms]
193.123.74.174:8443#AE [262.48ms]
109.61.42.37:443#AE [287.85ms]
31.130.149.210:443#AE [304.22ms]
139.185.38.137:2053#AE [311.1ms]
38.54.8.167:443#AE [342.31ms]
193.108.112.65:443#AL [301.84ms]
185.75.243.102:443#AL [319.15ms]
185.234.57.153:443#AM [268.38ms]
185.234.57.134:443#AM [272.58ms]
213.159.76.175:443#AM [276.31ms]
45.83.143.121:443#AM [285.95ms]
185.234.57.233:443#AM [286.65ms]
91.132.132.243:8443#AM [293.02ms]
91.132.132.233:443#AM [294.65ms]
2.56.204.246:443#AM [329.62ms]
91.198.108.191:443#AM [330.63ms]
2.56.206.114:2053#AM [338.92ms]
149.33.19.136:2053#AR [1359.45ms]
152.53.67.107:443#AT [240.26ms]
130.195.222.215:443#AT [240.69ms]
152.53.44.234:2053#AT [243.18ms]
152.53.105.1:443#AT [244.47ms]
38.180.143.51:2053#AT [251.93ms]
38.180.143.51:8443#AT [256.79ms]
151.236.8.190:443#AT [259.1ms]
46.102.156.144:2053#AT [278.94ms]
195.133.88.46:443#AT [281.83ms]
94.177.8.122:2053#AT [288.41ms]
193.177.221.29:443#AU [191.4ms]
51.161.196.38:443#AU [266.36ms]
123.51.23.113:443#AU [270.72ms]
194.14.208.56:443#AU [272.37ms]
170.64.229.30:443#AU [310.69ms]
209.38.22.182:443#AU [310.8ms]
209.38.23.235:443#AU [313.41ms]
170.64.245.159:443#AU [319.97ms]
170.64.232.210:443#AU [325.78ms]
139.180.172.252:443#AU [331.06ms]
180.149.44.124:8443#AZ [322.38ms]
180.149.44.54:443#AZ [1346.29ms]
38.54.42.124:443#BD [317.75ms]
141.98.233.190:8443#BE [220.58ms]
45.83.20.29:443#BE [228.08ms]
194.71.227.213:443#BE [228.7ms]
188.190.26.243:443#BE [243.95ms]
95.164.62.196:443#BE [246.83ms]
113.30.152.144:443#BE [248.01ms]
38.180.18.43:8443#BE [265.08ms]
35.241.172.224:443#BE [275.83ms]
95.139.91.132:443#BE [282.74ms]
193.42.108.114:443#BE [284.55ms]
146.19.80.179:8443#BG [240.34ms]
185.203.119.166:2053#BG [246.27ms]
95.164.21.123:443#BG [251.95ms]
45.136.198.114:8443#BG [254.98ms]
193.37.212.56:2053#BG [256.09ms]
148.253.214.10:443#BG [256.36ms]
185.203.116.174:443#BG [262.57ms]
185.205.210.144:443#BG [276.61ms]
91.92.136.216:2053#BG [281.65ms]
185.206.146.190:8443#BG [285.38ms]
216.238.110.198:8443#BR [366.24ms]
146.235.59.153:2053#BR [366.57ms]
38.180.79.9:443#BR [367.69ms]
38.180.196.40:2053#BR [368.32ms]
38.180.196.40:8443#BR [371.34ms]
38.180.78.255:443#BR [1369.53ms]
152.67.41.217:443#BR [1386.99ms]
185.66.71.149:2053#BY [257.58ms]
93.85.88.60:8443#BY [304.6ms]
93.85.88.60:2053#BY [338.11ms]
185.179.82.201:443#BY [1262.72ms]
23.173.104.225:2053#CA [215.39ms]
44.32.224.209:443#CA [216.0ms]
23.173.104.230:2053#CA [216.07ms]
23.173.104.195:2053#CA [216.81ms]
44.32.224.209:2053#CA [217.03ms]
23.173.104.234:2053#CA [217.36ms]
23.173.104.236:2053#CA [217.57ms]
23.173.104.238:2053#CA [220.98ms]
23.173.104.215:2053#CA [221.43ms]
23.173.104.196:2053#CA [221.54ms]
194.87.178.222:443#CH [215.81ms]
51.34.85.34:443#CH [224.3ms]
146.70.71.157:443#CH [229.52ms]
94.131.12.15:443#CH [229.87ms]
83.228.222.61:443#CH [230.74ms]
5.182.36.39:443#CH [230.75ms]
149.33.15.96:2053#CH [234.33ms]
84.234.17.132:8443#CH [237.48ms]
91.90.193.19:443#CH [239.22ms]
146.70.233.25:443#CH [241.02ms]
64.176.10.195:443#CL [367.88ms]
64.176.17.245:443#CL [369.22ms]
64.176.9.170:8443#CL [369.62ms]
64.176.11.9:8443#CL [371.33ms]
64.176.15.110:2053#CL [378.23ms]
64.176.4.154:8443#CL [1382.6ms]
91.148.134.83:2053#CO [292.41ms]
91.148.134.83:8443#CO [294.86ms]
2.56.176.32:8443#CZ [214.64ms]
150.241.121.190:443#CZ [220.41ms]
89.221.219.195:443#CZ [230.19ms]
2.56.176.32:443#CZ [241.59ms]
38.180.48.182:8443#CZ [248.98ms]
45.151.183.22:443#CZ [279.19ms]
91.199.160.236:443#CZ [280.23ms]
87.236.146.230:443#CZ [281.56ms]
85.137.165.164:443#CZ [281.77ms]
91.199.160.188:2053#CZ [282.45ms]
92.119.90.67:2053#DE [195.93ms]
130.61.187.66:443#DE [197.79ms]
185.233.81.207:443#DE [200.23ms]
57.129.47.14:8443#DE [200.87ms]
57.129.47.39:8443#DE [201.64ms]
132.226.197.103:443#DE [203.67ms]
135.125.190.13:8443#DE [204.86ms]
45.43.88.13:8443#DE [205.12ms]
81.95.4.189:443#DE [206.18ms]
162.19.243.185:2053#DE [206.61ms]
193.180.212.103:443#DK [207.25ms]
193.181.214.170:8443#DK [213.87ms]
