156.154.245.83:443#AE [优选高速 81.62ms]
146.70.37.253:443#AE [211.51ms]
176.97.66.175:443#AE [222.09ms]
181.215.205.172:2053#AE [250.17ms]
84.235.245.65:2096#AE [263.97ms]
80.227.252.11:8443#AE [273.15ms]
147.78.0.186:2053#AE [281.31ms]
193.123.74.174:8443#AE [285.48ms]
84.235.255.82:443#AE [290.11ms]
147.78.0.186:8443#AE [290.3ms]
91.239.6.47:443#AL [289.87ms]
91.239.6.40:443#AL [291.96ms]
89.125.139.115:443#AL [322.38ms]
91.198.108.211:2053#AM [198.99ms]
77.91.68.239:443#AM [209.72ms]
2.56.204.183:443#AM [210.52ms]
91.195.254.34:443#AM [262.29ms]
92.223.2.12:2087#AM [362.05ms]
77.91.68.117:443#AM [1217.73ms]
43.174.195.1:443#AR [242.87ms]
38.54.45.184:443#AR [349.95ms]
131.255.6.88:443#AR [358.62ms]
77.110.110.254:443#AT [163.27ms]
152.53.67.83:443#AT [166.64ms]
89.58.17.201:443#AT [171.97ms]
152.53.111.169:443#AT [175.53ms]
152.53.110.45:443#AT [175.67ms]
152.53.67.190:443#AT [180.51ms]
185.175.58.196:443#AT [181.56ms]
159.195.113.79:8443#AT [182.26ms]
91.244.70.45:8443#AT [187.65ms]
37.235.56.86:443#AT [191.31ms]
119.9.134.7:443#AU [174.75ms]
152.67.104.23:443#AU [186.3ms]
207.211.157.214:443#AU [190.28ms]
152.67.126.254:443#AU [194.88ms]
158.180.5.171:443#AU [195.39ms]
209.38.82.114:443#AU [199.89ms]
207.211.153.234:443#AU [201.39ms]
170.64.229.30:443#AU [215.07ms]
168.138.110.138:443#AU [216.66ms]
161.33.90.181:443#AU [220.47ms]
31.58.237.197:2096#AZ [263.7ms]
31.58.237.199:2096#AZ [265.54ms]
31.58.237.198:2096#AZ [270.07ms]
31.58.237.200:2096#AZ [280.67ms]
185.135.231.175:8443#AZ [1391.78ms]
154.205.144.113:443#BD [385.25ms]
35.241.172.224:443#BE [220.33ms]
35.210.99.51:443#BE [269.96ms]
89.125.200.144:2053#BE [310.22ms]
91.215.153.162:443#BG [177.65ms]
91.215.154.80:443#BG [177.79ms]
91.247.36.169:8443#BG [179.76ms]
195.123.226.211:443#BG [183.06ms]
91.215.154.96:443#BG [187.51ms]
91.210.166.221:443#BG [192.1ms]
91.215.154.88:443#BG [193.68ms]
91.215.152.98:443#BG [194.38ms]
91.247.36.168:443#BG [203.27ms]
148.253.214.60:443#BG [205.3ms]
43.174.192.1:443#BR [216.27ms]
38.180.78.255:443#BR [347.39ms]
38.180.79.9:443#BR [353.69ms]
146.235.59.153:2053#BR [365.29ms]
216.128.168.232:8443#BR [368.3ms]
146.235.59.153:8443#BR [368.38ms]
104.64.59.22:443#BR [387.1ms]
94.131.19.16:443#BR [388.22ms]
172.237.60.225:443#BR [392.09ms]
104.64.59.9:443#BR [400.59ms]
80.71.159.199:8443#BY [167.04ms]
91.149.167.147:8443#BY [184.63ms]
62.182.102.93:443#BY [187.35ms]
185.179.82.246:443#BY [213.53ms]
191.44.32.253:443#BY [217.21ms]
93.85.236.9:443#BY [225.82ms]
95.130.84.36:8443#BY [271.93ms]
104.129.183.69:443#CA [210.37ms]
172.93.32.125:443#CA [211.08ms]
24.84.0.55:8443#CA [215.07ms]
172.93.32.237:443#CA [217.12ms]
45.133.17.118:443#CA [217.99ms]
45.133.17.106:443#CA [230.55ms]
38.9.96.61:443#CA [230.71ms]
24.84.0.55:443#CA [231.21ms]
65.49.232.101:443#CA [236.35ms]
96.44.136.186:8443#CA [236.43ms]
91.245.225.79:2053#CH [164.02ms]
91.245.225.79:8443#CH [164.55ms]
91.90.193.24:443#CH [166.23ms]
146.70.233.25:443#CH [169.55ms]
146.70.233.11:2083#CH [173.07ms]
45.85.93.49:443#CH [173.52ms]
141.227.149.145:443#CH [175.65ms]
45.90.57.242:443#CH [176.44ms]
185.191.239.133:443#CH [176.49ms]
38.180.161.128:443#CH [176.6ms]
43.174.193.1:443#CL [210.73ms]
148.116.110.12:8443#CL [365.33ms]
129.151.124.127:443#CL [367.51ms]
64.176.15.110:2053#CL [421.1ms]
